Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0.24 mg/ml  Code: tmp
Parent(s): /Users/ellen/Documents/Statherin/SAXS/Grenoble_sep-17/Analysis/Series3/Other/avrg_001.dat
  6.163200e-01   3.082180e+00   4.384920e-01
  6.210180e-01   3.424570e+00   4.465370e-01
  6.257150e-01   3.575070e+00   4.435380e-01
  6.304130e-01   4.198900e+00   4.409820e-01
  6.351110e-01   3.135200e+00   4.305090e-01
  6.398090e-01   3.234280e+00   4.381820e-01
  6.445060e-01   3.304880e+00   4.394330e-01
  6.492040e-01   3.048360e+00   4.419460e-01
  6.539020e-01   3.471680e+00   4.276210e-01
  6.585990e-01   3.363320e+00   4.360090e-01
  6.632970e-01   2.613330e+00   4.344180e-01
  6.679950e-01   3.506930e+00   4.367010e-01
  6.726930e-01   2.990350e+00   4.257120e-01
  6.773900e-01   3.365950e+00   4.255860e-01
  6.820880e-01   2.884240e+00   4.276000e-01
  6.867860e-01   2.577170e+00   4.327050e-01
  6.914830e-01   3.296710e+00   4.249830e-01
  6.961810e-01   2.780430e+00   4.228070e-01
  7.008790e-01   3.428940e+00   4.248590e-01
  7.055770e-01   2.863510e+00   4.330160e-01
  7.102740e-01   3.147500e+00   4.208540e-01
  7.149720e-01   3.320230e+00   4.227660e-01
  7.196700e-01   2.760220e+00   4.206100e-01
  7.243670e-01   2.872100e+00   4.232590e-01
  7.290650e-01   2.423460e+00   4.291270e-01
  7.337630e-01   2.761600e+00   4.085400e-01
  7.384610e-01   3.319750e+00   4.164690e-01
  7.431580e-01   2.250020e+00   4.200070e-01
  7.478560e-01   2.705480e+00   4.225820e-01
  7.525540e-01   2.827890e+00   4.128800e-01
  7.572510e-01   2.490370e+00   4.064470e-01
  7.619490e-01   2.972470e+00   4.186390e-01
  7.666470e-01   3.439320e+00   4.224790e-01
  7.713450e-01   2.655870e+00   4.108830e-01
  7.760420e-01   2.513740e+00   4.049740e-01
  7.807400e-01   2.868630e+00   4.116720e-01
  7.854380e-01   3.406700e+00   4.144800e-01
  7.901350e-01   3.036710e+00   4.075230e-01
  7.948330e-01   2.984410e+00   4.045540e-01
  7.995310e-01   2.851490e+00   4.075220e-01
  8.042290e-01   2.716030e+00   4.102900e-01
  8.089260e-01   2.635260e+00   4.135420e-01
  8.136240e-01   2.718370e+00   3.976550e-01
  8.183220e-01   3.168070e+00   4.030890e-01
  8.230190e-01   2.409480e+00   4.061680e-01
  8.277170e-01   2.663220e+00   4.095060e-01
  8.324150e-01   2.355160e+00   3.927050e-01
  8.371130e-01   2.740380e+00   3.988330e-01
  8.418100e-01   2.290540e+00   4.028800e-01
  8.465080e-01   2.068140e+00   4.062580e-01
  8.512060e-01   2.519900e+00   3.913490e-01
  8.559030e-01   2.367090e+00   3.951170e-01
  8.606010e-01   2.255280e+00   4.012670e-01
  8.652990e-01   1.762110e+00   4.017110e-01
  8.699970e-01   2.540590e+00   3.937080e-01
  8.746940e-01   2.297170e+00   3.892030e-01
  8.793920e-01   3.068150e+00   3.976420e-01
  8.840900e-01   1.762800e+00   3.936700e-01
  8.887870e-01   2.677120e+00   3.957630e-01
  8.934850e-01   1.460260e+00   3.856230e-01
  8.981830e-01   2.343590e+00   3.935470e-01
  9.028810e-01   2.083180e+00   3.908350e-01
  9.075780e-01   2.048660e+00   3.953650e-01
  9.122760e-01   1.802520e+00   3.809450e-01
  9.169740e-01   2.642740e+00   3.910020e-01
  9.216710e-01   2.211530e+00   3.905980e-01
  9.263690e-01   1.886860e+00   3.876650e-01
  9.310670e-01   1.875320e+00   3.802600e-01
  9.357650e-01   1.992340e+00   3.858790e-01
  9.404620e-01   2.328340e+00   3.875650e-01
  9.451600e-01   2.097670e+00   3.840090e-01
  9.498580e-01   1.789480e+00   3.815440e-01
  9.545550e-01   1.962110e+00   3.798740e-01
  9.592530e-01   2.196980e+00   3.843970e-01
  9.639510e-01   1.872100e+00   3.840830e-01
  9.686490e-01   1.976290e+00   3.797600e-01
  9.733460e-01   1.887460e+00   3.767770e-01
  9.780440e-01   2.147860e+00   3.807360e-01
  9.827420e-01   1.568060e+00   3.785690e-01
  9.874390e-01   2.587040e+00   3.851720e-01
  9.921370e-01   1.641920e+00   3.671460e-01
  9.968350e-01   2.100590e+00   3.792170e-01
  1.001530e+00   2.551110e+00   3.763370e-01
  1.006230e+00   1.431300e+00   3.805560e-01
  1.010930e+00   2.007150e+00   3.712740e-01
  1.015630e+00   1.629110e+00   3.706600e-01
  1.020320e+00   2.361130e+00   3.756430e-01
  1.025020e+00   2.179290e+00   3.757080e-01
  1.029720e+00   2.228780e+00   3.711760e-01
  1.034420e+00   2.002490e+00   3.704250e-01
  1.039110e+00   1.781870e+00   3.706280e-01
  1.043810e+00   1.356800e+00   3.735330e-01
  1.048510e+00   2.550990e+00   3.691200e-01
  1.053210e+00   1.850720e+00   3.659020e-01
  1.057910e+00   2.102280e+00   3.714020e-01
  1.062600e+00   1.788080e+00   3.695960e-01
  1.067300e+00   2.614900e+00   3.709760e-01
  1.072000e+00   1.473690e+00   3.604030e-01
  1.076700e+00   1.603980e+00   3.686510e-01
  1.081390e+00   1.989540e+00   3.656150e-01
  1.086090e+00   1.980700e+00   3.710040e-01
  1.090790e+00   2.120240e+00   3.593310e-01
  1.095490e+00   1.602740e+00   3.585920e-01
  1.100180e+00   1.306370e+00   3.669510e-01
  1.104880e+00   1.745010e+00   3.671120e-01
  1.109580e+00   1.297410e+00   3.563100e-01
  1.114280e+00   1.583250e+00   3.603740e-01
